model_id,fine_tune_strategy,fine_tune_at,sk_block_branch1_kernels,sk_block_branch2_kernels,cab_dw_kernels,stain_norm,oversampling,class_weights,proper_val_split,overall_accuracy,basophils_f1,eosinophils_f1,lymphocytes_f1,monocytes_f1,neutrophils_f1,macro_avg_f1,total_params,trainable_params,notes
baseline_pbc_only,fully_frozen,all_frozen,(3x3)(3x3),(5x5)dilated3+(5x5)dilated5,(5dil3)+(7dil5),No,No,No,No,0.9957,1.00,1.00,0.99,0.99,1.00,0.996,2831689,2217225,Trained on PBC only — high accuracy on PBC test but fails on Raabin
baseline_raabin_test,fully_frozen,all_frozen,(3x3)(3x3),(5x5)dilated3+(5x5)dilated5,(5dil3)+(7dil5),No,No,No,No,0.8489,0.15,0.10,0.92,0.69,0.92,0.556,2831689,2217225,Same model tested on Raabin — domain shift revealed — Eosinophils F1 collapsed to 0.10
wbc_merged_frozen,fully_frozen,all_frozen,(3x3)(3x3),(5x5)dilated3+(5x5)dilated5,(5dil3)+(7dil5),Yes,Yes,Yes,No,0.91,0.17,0.97,0.93,0.73,0.98,0.756,2831689,2217225,Merged PBC+Raabin — stain norm + oversampling added — backbone still frozen — model stuck at 20% train acc
wbc_finetune100,simple_fine_tune_at,100,(3x3)(3x3),(5x5)dilated3+(5x5)dilated5,(5dil3)+(7dil5),Yes,Yes,Yes,No,0.92,0.56,0.91,0.92,0.79,0.98,0.832,2831689,2452617,Unfreeze last 55 layers — Basophils improved significantly — gradient now flows through backbone
wbc_finetune110,simple_fine_tune_at,110,(3x3)(3x3),(5x5)dilated3+(5x5)dilated5,(5dil3)+(7dil5),Yes,Yes,Yes,No,0.94,0.89,0.89,0.95,0.84,0.97,0.908,2831689,2452617,fine_tune_at=110 sweet spot — Basophils best so far at 0.89 F1
wbc11,simple_fine_tune_at,90,(3x5)(3x5),(5x5)dilated3+(7x7)dilated5,(5dil3)+(7dil5),Yes,Yes,Yes,No,0.95,0.69,0.96,0.95,0.84,0.99,0.886,2995529,2739529,Changed SK branch kernels to (3x5) and (5x7) — Eosinophils jumped to 0.96 but Basophils dropped — kernel change helps Eosinophils
wbc12,simple_fine_tune_at,110,(3x5)(3x5),(5x5)dilated3+(7x7)dilated5,(3dil1)+(7dil5),Yes,Yes,Yes,No,0.91,0.85,0.83,0.88,0.83,0.97,0.872,2975049,2477705,Changed CAB depthwise to (3dil1)+(7dil5) — overall dropped — CAB needs wide kernels after fusion
wbc14,simple_fine_tune_at,90,(3x5)(3x5),(5x5)dilated3+(7x7)dilated5,(5dil3)+(7dil5),Yes,Yes,Yes,No,0.96,0.87,0.97,0.95,0.88,0.98,0.930,2982217,2726217,Best result before 3-zone — fine_tune=90 + DKCAB(3x5)(5x7) + original CAB(5dil3)(7dil5) — best combination
wbc15,simple_fine_tune_at,100,(3x5)(3x5),(5x5)dilated3+(7x7)dilated5,(3dil1)+(5dil3)+(7dil5)+(3dil5),Yes,Yes,Yes,No,0.92,0.76,0.90,0.87,0.84,0.98,0.870,2961737,2582665,Added extra depthwise layer in CAB — 4 layers total — performance dropped vs 2 layers
wbc17,3zone,zones_11-27_38-54_90-117,(3x5)(3x5),(5x5)dilated3+(7x7)dilated5,(3dil3)+(5dil5)+(7dil7),Yes,Yes,Yes,No,0.95,0.83,0.94,0.96,0.83,0.99,0.910,2995529,2580729,First 3-zone attempt — 3-layer CAB — Lymphocytes and Neutrophils improved but Monocytes dropped
wbc18,3zone,zones_11-27_38-54_90-117,(3x3)(3x3),(5x5)dilated3+(5x5)dilated5,(5dil3)+(7dil5),Yes,Yes,Yes,No,0.63,0.00,0.47,0.67,0.52,0.79,0.490,2831689,2452617,Tested on new_dataset2 — best generalization to unseen domain among all models
wbc20,3zone,zones_11-27_38-54_90-117,(3x5)(3x5),(5x5)dilated3+(7x7)dilated5,(5dil3)+(7dil5),Yes,Yes,Yes,Yes,0.99,0.98,0.99,0.98,0.96,1.00,0.982,2995529,2774937,BEST RESULT — proper 3-way split added — Basophils F1 jumped to 0.98 — production ready model
wbc20_on_new_dataset2,3zone,zones_11-27_38-54_90-117,(3x5)(3x5),(5x5)dilated3+(7x7)dilated5,(5dil3)+(7dil5),Yes,Yes,Yes,Yes,0.61,0.80,0.78,0.42,0.46,0.85,0.662,2995529,2774937,wbc20 tested on new_dataset2 (100 images) — Lymphocyte confusion persists — needs more domain diversity
wbc22,3zone,zones_11-27_38-54_90-117,(3x3)+(5x5),(5x5)dilated3+(5x5)dilated5,(5dil3)+(7dil5),Yes,Yes,Yes,Yes,0.61,0.80,0.78,0.42,0.46,0.85,0.662,2995529,2774937,Architectural change — same results as wbc20 on new_dataset2 — confirms architecture is not the bottleneck
